title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Panda-Z: The Robonimation,2234,30,6.58,4608,4980,1150,4,2004-04-12,2004-10-04,Finished Airing,TV,"Panda-Z chronicles the misadventures of Pan Taron and his giant robot Panda-Z, as they battle the evil Skull Panda and his Warunimal forces."
Mizu no Kotoba,2235,1,7.10,2445,1855,11984,17,2002-10-26,2002-10-26,Finished Airing,Special,"Several people are spending their evening in a cafe. Two gossiping girls, two debating men, a bookworm and a boy, who just broke up with his girlfriend. The cafe's waitress starts a chat with him, persuading him to take a look at certain easel, while other customers begin to notice unusual things."
Toki wo Kakeru Shoujo,2236,1,8.48,80,82,167839,2507,2006-07-15,2006-07-15,Finished Airing,Movie,"The power to travel through time... It can be used for the good of humanity, or just selfishly abused. While many may fantasize about obtaining such a power, it has become nothing less than reality for otherwise-normal schoolgirl Konno Makoto. After a fated event, her life takes a turn for the extraordinary. Though she initially uses her power to literally ""leap"" into the past and change little things in order to make her life easier, she soon has to face the fact that changing the past can have drastic consequences."
Rozen Maiden: Meitantei Kunkun - Duell Walzer,2237,1,6.55,4768,1856,11972,15,2006-04-27,2006-04-27,Finished Airing,Special,Extra animation from the PS2 game.
Fuyu no Semi,2238,3,7.77,815,2142,9229,99,2007-02-23,2007-04-27,Finished Airing,OVA,"If time did not allow ordinary things to be ordinary. How would you have lived? It is the Bakumatsu and early Meiji Period. Akizuki Keiichirou and Kusaka Touma stand of opposite sides of the political scale of the time but still, something as fragile as the shell of a cicada binds these two men together in a tragic and cruel fate. A story of friendship, love and seperation as well as reunion and sacrifice."
Sei Michaela Gakuen Hyouryuuki,2239,2,5.51,6937,7446,188,0,1990-06-22,1991-07-25,Finished Airing,OVA,"Reborn as a woman named Aiko, the soldier rises as the military leader of a new crusade, successfully unites the world and abolishes all religion. Haunted by memories of a past life, Aiko travels backwards in time, and finds herself caught in an incredible battle to save the future."
Sei Michaela Gakuen Hyouryuuki II,2240,2,4.92,7271,6989,279,0,1994-10-21,1995-11-25,Finished Airing,OVA,"1212 AD. During the crusades, an innocent soldier finds himself betrayed, and leaps to his death, vowing to return as a fallen angel. Present day. Reborn as a woman named Aiko, the soldier rises as the military leader of a new crusade, successfully unites the world and abolishes all religion. Haunted by memories of a past life, Aiko travels backwards in time, and finds herself caught in an incredible battle to save the future."
Karasu Tengu Kabuto,2243,39,7.0,3396,5351,912,3,1990-07-29,1991-06-30,Finished Airing,TV,"500 years ago in the Tensho Era of Japan, a man was born who defied the will of a demon; a man who had gods of good on his side; a man destined to battle evil....his name was Kabuto. Somehow, Kuroyasya Douki, the vile Black Night Demon, escaped his prison in hell and returned to the earthly plane to wreak vengeance on the family-line of Kabuto. None can escape his deadly magic and masterful skills with the blade; however, the gods of the North, West, East, and South band together to help Kabuto stand for Justice. With the questionable help of a diabolical talking sword that his own father forged, Kabuto may live another day to see his own sons born...."
Rakugo Tennyo Oyui,2244,12,6.36,5698,5510,812,1,2006-01-05,2006-03-23,Finished Airing,TV,"Six girls including Tsukishima Yui were summoned into the end of Edo period by the power of mystic stones. They became celestial nymphs to protect cities from evils. Each girl obtained her own power. The power Yui obtained was ""word"". She would fight against evils by her ""words"" that gave people hope."
Seraphim Call,2245,12,6.18,5970,4294,1766,3,1999-10-06,1999-12-22,Finished Airing,TV,"Eleven young hearts with eleven dreams. Deep in their hearts, each girl has a secret dream of love and sadness. They meet together at Acropolis Tower to see if their dreams will come true. Imagine what happens when eleven average girls with eleven special talents join together to make the world a better place."
Mononoke,2246,12,8.51,79,603,48987,1903,2007-07-13,2007-09-28,Finished Airing,TV,"In feudal Japan, evil spirits known as mononoke plague both households and the countryside, leaving a trail of fear in their wake. One mysterious person has the power to slay the mononoke where they stand; he is known only as the Medicine Seller, and he vanquishes the spirits using the power of his Exorcism Sword. However, in order to draw his sword he must first understand the Form, Truth and Reason of the mononoke. Armed with a sharp wit and keen intellect, the Medicine Seller wanders from place to place, striking down the evil spirits in his wake."
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival,2248,1,6.98,3100,766,39046,104,2004-08-21,2004-08-21,Finished Airing,Special,"The genin of Kohona are having a sports day filled with races, obstacle courses and of course the relay and the prize is a paid vacation for the winner. Unfortunately Naruto and his stomach are getting him into trouble again. Naruto really needs to go to the toilet but he has to wait for the line to the restroom is so long even the Akatsuki and Kabuto are in line! After the group race he runs to the toilet to find it closed for cleaning but then he tries to go to into the ladies room but Hinata pops by and tries to tell Naruto something but is interrupted by the speaker and then off to the obstacle course. Naruto needs to drink a whole liter of milk in this critical state. After that he sees some portable toilets, but they are wrecked by Choji's Human Boulder. Naruto tries to beat them up but Ino comes and drags him back. Finally the relay; Sakura passed it to Sasuke but on Naruto's turn the baton Sasuke was holding poked his butt. Out of desperation Naruto wins and finishes the race. He runs off to find a toilet but Shikamaru stops him. They cheer for him on the track but Naruto can't hold it anymore and let's it ALL go on the field with everyone standing around him."
Amon Saga,2249,1,5.63,6922,3986,2119,0,1986-07-19,1986-07-19,Finished Airing,OVA,"Set in a world of fantasy and adventure, Amon is a young warrior embarking on a quest to avenge the death of his mother. When the hunt leads him ultimately to the kingdom of Valhiss, Amon enlists in the ranks of the Emperor's army in order to gain an opportunity to exact his revenge. However, a chance encounter with the Princess Lichia, being held captive by the Emperor in an effort to ransom a map away from his main rival, King Darai-Sem, Amon must decide whether to follow his path of revenge or to help rescue the Princess in an effort to save a lost kingdom."
Roots Search: Shokushin Buttai X,2250,1,4.38,7326,5377,898,2,1986-09-10,1986-09-10,Finished Airing,OVA,"When a research crew in deep space discovers the desolate ship ""Green Planet"" that warps into their area, they encounter Buzz, the commander and sole surivor of the ship. Being too incapacitated to make them aware of the situation of his ship, the research team will soon discover that they have found something far, far worse..."
Baccano!,2251,13,8.57,58,47,204921,9835,2007-07-27,2007-11-02,Finished Airing,TV,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality. Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved."
Devilman,2252,39,6.63,4293,3594,2779,13,1972-07-08,1973-04-07,Finished Airing,TV,"Devilman, one of the soldiers in the Demon clan, is ordered by the greatest demon to spread chaos in the earth. He successfully haunts the body of Akira, an orphan, and goes in his way to attend to his duties. In the mean time, the Demon clan discovers that he has betrayed them. The reason was love. Demon after demon was sent to defy Devilman. All have lost, However, and from here continues the story."
